,algorithm,features,knn,rf,xgb
0,lasso,2,0.6363636363636364,0.6493506493506493,0.6525974025974026
1,lasso,3,0.612012987012987,0.5925324675324675,0.6217532467532467
2,lasso,4,0.7426948051948052,0.7670454545454546,0.6452922077922079
3,lasso,8,0.7272727272727273,0.6996753246753247,0.6996753246753247
4,lasso,14,0.7175324675324675,0.7362012987012987,0.6883116883116883
5,lasso,12,0.7021103896103896,0.6655844155844155,0.674512987012987
6,lasso,18,0.7337662337662337,0.7313311688311688,0.6452922077922079
7,lasso,16,0.6931818181818181,0.6931818181818181,0.6631493506493507
8,lasso,39,0.8133116883116883,0.7516233766233766,0.6858766233766234
9,lasso,81,0.7905844155844155,0.8125,0.676948051948052
10,lasso,71,0.7808441558441559,0.7922077922077921,0.6680194805194806
11,lasso,78,0.797077922077922,0.8060064935064934,0.6680194805194806
12,lasso,110,0.8173701298701299,0.8149350649350648,0.6842532467532467
13,lasso,117,0.8400974025974026,0.849025974025974,0.6842532467532467
14,lasso,87,0.8173701298701299,0.7897727272727273,0.6680194805194806
15,lasso,89,0.8149350649350648,0.7946428571428572,0.6858766233766234
16,lasso,91,0.8173701298701299,0.7808441558441559,0.6655844155844155
17,lasso,95,0.8400974025974026,0.7881493506493507,0.676948051948052
18,lasso,145,0.8246753246753247,0.7832792207792207,0.6525974025974026
19,lasso,153,0.8222402597402598,0.8327922077922079,0.6842532467532467
20,lasso,107,0.8311688311688312,0.7946428571428572,0.6858766233766234
21,lasso,112,0.8108766233766234,0.8035714285714286,0.6858766233766234
22,lasso,172,0.8311688311688312,0.8125,0.6842532467532467
23,lasso,177,0.8425324675324675,0.8441558441558441,0.6728896103896104
24,lasso,118,0.799512987012987,0.8035714285714286,0.6858766233766234
25,lasso,189,0.8425324675324675,0.7881493506493507,0.6728896103896104
26,lasso,193,0.851461038961039,0.8198051948051948,0.663961038961039
27,lasso,192,0.851461038961039,0.851461038961039,0.661525974025974
28,lasso,190,0.851461038961039,0.7897727272727273,0.6793831168831169
29,lasso,130,0.8133116883116883,0.8060064935064934,0.663961038961039
30,lasso,205,0.8628246753246753,0.8441558441558441,0.6655844155844155
31,lasso,134,0.8222402597402598,0.7897727272727273,0.6842532467532467
32,lasso,213,0.8603896103896104,0.8035714285714286,0.6972402597402598
33,lasso,136,0.8222402597402598,0.7946428571428572,0.674512987012987
34,lasso,139,0.7857142857142857,0.8060064935064934,0.6728896103896104
35,lasso,215,0.8425324675324675,0.8555194805194806,0.6728896103896104
36,lasso,224,0.8425324675324675,0.7743506493506493,0.6972402597402598
37,lasso,225,0.8198051948051948,0.7946428571428572,0.6972402597402598
38,lasso,146,0.8222402597402598,0.8084415584415584,0.6525974025974026
39,lasso,229,0.8246753246753247,0.8076298701298701,0.6883116883116883
40,lasso,148,0.8133116883116883,0.8125,0.6858766233766234
41,lasso,157,0.8222402597402598,0.8311688311688312,0.6842532467532467
42,lasso,237,0.8311688311688312,0.7897727272727273,0.6972402597402598
43,lasso,154,0.8262987012987013,0.8352272727272727,0.6842532467532467
44,lasso,151,0.7767857142857143,0.7987012987012987,0.6842532467532467
45,lasso,164,0.8133116883116883,0.7808441558441559,0.6728896103896104
46,lasso,161,0.8425324675324675,0.7922077922077921,0.6525974025974026
47,lasso,162,0.8336038961038961,0.8303571428571428,0.6525974025974026
48,lasso,243,0.849025974025974,0.8173701298701299,0.6972402597402598
49,lasso,170,0.8311688311688312,0.8327922077922079,0.6728896103896104
50,lasso,167,0.8425324675324675,0.8352272727272727,0.6728896103896104
51,lasso,261,0.8465909090909092,0.7897727272727273,0.6972402597402598
52,lasso,262,0.8198051948051948,0.8311688311688312,0.6818181818181819
53,lasso,173,0.8246753246753247,0.8149350649350648,0.6728896103896104
54,lasso,171,0.8336038961038961,0.8465909090909092,0.6728896103896104
55,lasso,178,0.8538961038961039,0.8327922077922079,0.6842532467532467
56,lasso,176,0.8741883116883117,0.8555194805194806,0.661525974025974
57,lasso,278,0.8376623376623377,0.7905844155844155,0.6704545454545454
58,lasso,270,0.8400974025974026,0.8287337662337663,0.6818181818181819
59,lasso,263,0.849025974025974,0.7743506493506493,0.6972402597402598
60,lasso,275,0.8425324675324675,0.8035714285714286,0.6972402597402598
61,lasso,272,0.8287337662337663,0.8035714285714286,0.6972402597402598
62,lasso,276,0.8376623376623377,0.7832792207792207,0.6972402597402598
63,lasso,184,0.8652597402597402,0.7743506493506493,0.6728896103896104
64,lasso,181,0.8311688311688312,0.8060064935064934,0.6818181818181819
65,lasso,282,0.8668831168831169,0.765422077922078,0.6818181818181819
66,lasso,191,0.8538961038961039,0.8060064935064934,0.6728896103896104
67,lasso,287,0.8352272727272727,0.7832792207792207,0.6842532467532467
68,lasso,196,0.8831168831168831,0.8417207792207793,0.6728896103896104
69,lasso,195,0.8628246753246753,0.7832792207792207,0.6728896103896104
70,lasso,197,0.8628246753246753,0.8400974025974026,0.6728896103896104
71,lasso,303,0.8400974025974026,0.8100649350649352,0.6842532467532467
72,lasso,194,0.8628246753246753,0.7832792207792207,0.6883116883116883
73,lasso,311,0.8311688311688312,0.8011363636363636,0.6972402597402598
74,lasso,200,0.8628246753246753,0.8084415584415584,0.6842532467532467
75,lasso,206,0.8693181818181819,0.7946428571428572,0.6818181818181819
76,lasso,312,0.8376623376623377,0.7564935064935066,0.6996753246753247
77,lasso,306,0.8400974025974026,0.8189935064935066,0.6972402597402598
78,lasso,207,0.849025974025974,0.8262987012987013,0.6883116883116883
79,lasso,324,0.8400974025974026,0.8668831168831169,0.6996753246753247
80,lasso,314,0.851461038961039,0.7881493506493507,0.6972402597402598
81,lasso,208,0.8717532467532467,0.8376623376623377,0.663961038961039
82,lasso,330,0.849025974025974,0.7946428571428572,0.6883116883116883
83,lasso,464,0.8628246753246753,0.8011363636363636,0.6858766233766234
84,lasso,492,0.8400974025974026,0.7897727272727273,0.6858766233766234
85,lasso,554,0.8400974025974026,0.7946428571428572,0.7061688311688312
86,lasso,580,0.801948051948052,0.8506493506493507,0.6655844155844155
87,lasso,600,0.8311688311688312,0.7922077922077921,0.6858766233766234
88,lasso,669,0.8198051948051948,0.8214285714285714,0.7086038961038961
89,lasso,706,0.8133116883116883,0.7873376623376623,0.6566558441558441
90,lasso,484,0.8449675324675325,0.8303571428571428,0.6883116883116883
91,lasso,888,0.8133116883116883,0.8060064935064934,0.7199675324675325
92,rf,4,0.7475649350649352,0.700487012987013,0.698051948051948
93,rf,9,0.6939935064935066,0.6323051948051948,0.575487012987013
94,rf,14,0.7272727272727273,0.6728896103896104,0.6209415584415584
95,rf,19,0.7727272727272727,0.6793831168831169,0.6209415584415584
96,rf,24,0.7426948051948052,0.7069805194805194,0.6209415584415584
97,rf,29,0.7386363636363636,0.6883116883116883,0.6387987012987013
98,rf,34,0.7386363636363636,0.7426948051948052,0.6655844155844155
99,rf,39,0.7564935064935066,0.7402597402597402,0.676948051948052
100,rf,44,0.765422077922078,0.7491883116883117,0.6542207792207793
101,rf,49,0.7272727272727273,0.7378246753246753,0.6899350649350648
102,rf,54,0.7313311688311688,0.7378246753246753,0.6899350649350648
103,rf,59,0.7702922077922079,0.7337662337662337,0.6899350649350648
104,rf,64,0.7451298701298701,0.7402597402597402,0.6452922077922079
105,rf,69,0.7702922077922079,0.7288961038961039,0.6452922077922079
106,rf,74,0.7613636363636364,0.6907467532467533,0.6696428571428572
107,rf,79,0.7678571428571428,0.7224025974025974,0.6631493506493507
108,rf,84,0.7727272727272727,0.7451298701298701,0.6542207792207793
109,rf,89,0.7045454545454546,0.7337662337662337,0.6923701298701299
110,rf,94,0.7613636363636364,0.7426948051948052,0.6631493506493507
111,rf,99,0.7159090909090908,0.7516233766233766,0.6517857142857143
112,rf,104,0.7702922077922079,0.7337662337662337,0.674512987012987
113,rf,109,0.7792207792207793,0.7516233766233766,0.674512987012987
114,rf,114,0.7792207792207793,0.7564935064935066,0.674512987012987
115,rf,119,0.7386363636363636,0.7248376623376623,0.674512987012987
116,rf,124,0.7410714285714286,0.7337662337662337,0.674512987012987
117,rf,129,0.7410714285714286,0.7540584415584416,0.674512987012987
118,rf,134,0.75,0.7248376623376623,0.6631493506493507
119,rf,139,0.7564935064935066,0.7564935064935066,0.6631493506493507
120,rf,144,0.7540584415584416,0.7564935064935066,0.6655844155844155
121,rf,149,0.7792207792207793,0.7337662337662337,0.6655844155844155
122,rf,154,0.765422077922078,0.7702922077922079,0.6680194805194806
123,rf,159,0.7930194805194806,0.7337662337662337,0.6680194805194806
124,rf,164,0.801948051948052,0.7475649350649352,0.6566558441558441
125,rf,169,0.7475649350649352,0.7451298701298701,0.6566558441558441
126,rf,174,0.7702922077922079,0.7475649350649352,0.6655844155844155
127,rf,179,0.7792207792207793,0.7564935064935066,0.6655844155844155
128,rf,184,0.7881493506493507,0.7337662337662337,0.6680194805194806
129,rf,189,0.7881493506493507,0.7021103896103896,0.676948051948052
130,rf,194,0.801948051948052,0.7451298701298701,0.6972402597402598
131,rf,199,0.7337662337662337,0.7224025974025974,0.6972402597402598
132,rf,204,0.7362012987012987,0.7224025974025974,0.6972402597402598
133,rf,209,0.7905844155844155,0.7451298701298701,0.6858766233766234
134,rf,214,0.765422077922078,0.765422077922078,0.6972402597402598
135,rf,219,0.8060064935064934,0.7426948051948052,0.6972402597402598
136,rf,224,0.7540584415584416,0.7402597402597402,0.674512987012987
137,rf,229,0.7540584415584416,0.762987012987013,0.6858766233766234
138,rf,234,0.762987012987013,0.7362012987012987,0.6655844155844155
139,rf,239,0.7516233766233766,0.7857142857142857,0.6858766233766234
140,rf,244,0.8035714285714286,0.762987012987013,0.676948051948052
141,rf,249,0.8035714285714286,0.762987012987013,0.6858766233766234
142,rf,254,0.7540584415584416,0.7767857142857143,0.6858766233766234
143,rf,259,0.7540584415584416,0.7540584415584416,0.676948051948052
144,rf,264,0.7540584415584416,0.760551948051948,0.6858766233766234
145,rf,269,0.7719155844155845,0.7767857142857143,0.6858766233766234
146,rf,274,0.765422077922078,0.7540584415584416,0.6858766233766234
147,rf,279,0.7516233766233766,0.765422077922078,0.6858766233766234
148,rf,284,0.8060064935064934,0.7402597402597402,0.6858766233766234
149,rf,289,0.7719155844155845,0.7719155844155845,0.6858766233766234
150,rf,294,0.8149350649350648,0.7288961038961039,0.6858766233766234
151,rf,299,0.7719155844155845,0.7719155844155845,0.6858766233766234
152,rf,304,0.8060064935064934,0.797077922077922,0.6858766233766234
153,rf,309,0.797077922077922,0.765422077922078,0.6858766233766234
154,rf,314,0.760551948051948,0.762987012987013,0.6858766233766234
155,rf,319,0.8060064935064934,0.7808441558441559,0.6858766233766234
156,rf,324,0.762987012987013,0.7719155844155845,0.6858766233766234
157,rf,329,0.762987012987013,0.7767857142857143,0.6834415584415584
158,rf,334,0.762987012987013,0.762987012987013,0.6834415584415584
159,rf,339,0.762987012987013,0.762987012987013,0.674512987012987
160,rf,344,0.8262987012987013,0.7426948051948052,0.6858766233766234
161,rf,349,0.8262987012987013,0.7832792207792207,0.674512987012987
162,rf,354,0.8262987012987013,0.760551948051948,0.6655844155844155
163,rf,359,0.8262987012987013,0.7743506493506493,0.6655844155844155
164,rf,364,0.8173701298701299,0.7402597402597402,0.676948051948052
165,rf,369,0.8060064935064934,0.7402597402597402,0.676948051948052
166,rf,374,0.797077922077922,0.7337662337662337,0.6858766233766234
167,rf,379,0.8060064935064934,0.7516233766233766,0.676948051948052
168,rf,384,0.762987012987013,0.7694805194805194,0.6858766233766234
169,rf,389,0.8173701298701299,0.762987012987013,0.6858766233766234
170,rf,394,0.765422077922078,0.7743506493506493,0.6858766233766234
171,rf,399,0.8084415584415584,0.762987012987013,0.6858766233766234
172,rf,404,0.8084415584415584,0.762987012987013,0.6858766233766234
173,rf,409,0.7564935064935066,0.7540584415584416,0.676948051948052
174,rf,414,0.7564935064935066,0.7540584415584416,0.676948051948052
175,rf,419,0.765422077922078,0.7426948051948052,0.676948051948052
176,rf,424,0.765422077922078,0.7564935064935066,0.676948051948052
177,rf,429,0.7564935064935066,0.7224025974025974,0.676948051948052
178,rf,434,0.8035714285714286,0.7426948051948052,0.676948051948052
179,rf,439,0.7564935064935066,0.762987012987013,0.676948051948052
180,rf,444,0.7946428571428572,0.765422077922078,0.676948051948052
181,rf,449,0.7564935064935066,0.762987012987013,0.676948051948052
182,rf,454,0.7564935064935066,0.7362012987012987,0.676948051948052
183,rf,459,0.7564935064935066,0.7743506493506493,0.676948051948052
184,rf,464,0.7564935064935066,0.762987012987013,0.676948051948052
185,rf,469,0.7564935064935066,0.760551948051948,0.676948051948052
186,rf,474,0.765422077922078,0.765422077922078,0.6655844155844155
187,rf,479,0.765422077922078,0.7719155844155845,0.6655844155844155
188,rf,484,0.765422077922078,0.7719155844155845,0.6655844155844155
189,rf,489,0.7564935064935066,0.7426948051948052,0.6655844155844155
190,rf,494,0.765422077922078,0.7516233766233766,0.6655844155844155
191,rf,499,0.765422077922078,0.7743506493506493,0.6655844155844155
192,mi,4,0.5917207792207793,0.6501623376623377,0.5397727272727273
193,mi,7,0.7491883116883117,0.6363636363636364,0.625
194,mi,10,0.7378246753246753,0.6631493506493507,0.6136363636363636
195,mi,13,0.7491883116883117,0.6517857142857143,0.6290584415584416
196,mi,16,0.7426948051948052,0.674512987012987,0.6201298701298701
197,mi,19,0.7337662337662337,0.6655844155844155,0.5982142857142857
198,mi,22,0.7224025974025974,0.6907467532467533,0.5868506493506493
199,mi,25,0.7719155844155845,0.6542207792207793,0.609577922077922
200,mi,28,0.7946428571428572,0.676948051948052,0.6387987012987013
201,mi,31,0.8149350649350648,0.6858766233766234,0.6818181818181819
202,mi,34,0.7702922077922079,0.7086038961038961,0.6818181818181819
203,mi,37,0.7702922077922079,0.6858766233766234,0.6680194805194806
204,mi,40,0.8133116883116883,0.7021103896103896,0.6704545454545454
205,mi,45,0.7702922077922079,0.7443181818181819,0.6590909090909092
206,mi,50,0.7386363636363636,0.7426948051948052,0.674512987012987
207,mi,55,0.8108766233766234,0.6996753246753247,0.6542207792207793
208,mi,60,0.7881493506493507,0.7199675324675325,0.674512987012987
209,mi,65,0.7702922077922079,0.7199675324675325,0.674512987012987
210,mi,70,0.7248376623376623,0.7313311688311688,0.6655844155844155
211,mi,75,0.8084415584415584,0.765422077922078,0.6655844155844155
212,mi,80,0.7767857142857143,0.7224025974025974,0.6655844155844155
213,mi,85,0.7946428571428572,0.7288961038961039,0.6655844155844155
214,mi,90,0.8157467532467533,0.7540584415584416,0.6680194805194806
215,mi,95,0.8043831168831169,0.7248376623376623,0.6680194805194806
216,mi,100,0.8336038961038961,0.762987012987013,0.6680194805194806
217,mi,110,0.8043831168831169,0.765422077922078,0.6655844155844155
218,mi,120,0.8246753246753247,0.726461038961039,0.6655844155844155
219,mi,130,0.836038961038961,0.7451298701298701,0.6655844155844155
220,mi,140,0.7662337662337663,0.7540584415584416,0.676948051948052
221,mi,150,0.7548701298701299,0.7362012987012987,0.6452922077922079
222,mi,160,0.7662337662337663,0.765422077922078,0.6566558441558441
223,mi,170,0.7751623376623377,0.7248376623376623,0.6566558441558441
224,mi,180,0.7524350649350648,0.7451298701298701,0.6566558441558441
225,mi,190,0.7751623376623377,0.7564935064935066,0.6655844155844155
226,mi,200,0.7637987012987013,0.7337662337662337,0.6566558441558441
227,mi,210,0.8108766233766234,0.7248376623376623,0.6704545454545454
228,mi,220,0.7930194805194806,0.7475649350649352,0.6680194805194806
229,mi,230,0.8043831168831169,0.7248376623376623,0.6680194805194806
230,mi,240,0.7662337662337663,0.7426948051948052,0.6680194805194806
231,mi,250,0.7573051948051948,0.7159090909090908,0.6590909090909092
232,mi,260,0.7662337662337663,0.7337662337662337,0.676948051948052
233,mi,270,0.7662337662337663,0.7426948051948052,0.6655844155844155
234,mi,280,0.7954545454545454,0.7564935064935066,0.676948051948052
235,mi,290,0.7954545454545454,0.7362012987012987,0.676948051948052
236,mi,300,0.8133116883116883,0.7540584415584416,0.6680194805194806
237,mi,310,0.7881493506493507,0.7426948051948052,0.6680194805194806
238,mi,320,0.7954545454545454,0.7451298701298701,0.6566558441558441
239,mi,330,0.8068181818181819,0.7362012987012987,0.6477272727272727
240,mi,340,0.8157467532467533,0.7426948051948052,0.6566558441558441
241,mi,350,0.8246753246753247,0.765422077922078,0.6477272727272727
242,mi,360,0.8246753246753247,0.762987012987013,0.6655844155844155
243,mi,370,0.7954545454545454,0.7743506493506493,0.6655844155844155
244,mi,380,0.801948051948052,0.762987012987013,0.6948051948051948
245,mi,390,0.8222402597402598,0.7451298701298701,0.6948051948051948
246,mi,400,0.8246753246753247,0.7743506493506493,0.6655844155844155
247,mi,410,0.8246753246753247,0.7248376623376623,0.6590909090909092
248,mi,420,0.7954545454545454,0.7743506493506493,0.6566558441558441
249,mi,430,0.8043831168831169,0.7451298701298701,0.6566558441558441
250,mi,440,0.8133116883116883,0.7386363636363636,0.6477272727272727
251,mi,450,0.8246753246753247,0.765422077922078,0.6160714285714286
252,mi,460,0.8246753246753247,0.7159090909090908,0.6185064935064934
253,mi,470,0.7905844155844155,0.7743506493506493,0.6185064935064934
254,mi,480,0.8246753246753247,0.762987012987013,0.6185064935064934
255,mi,490,0.8336038961038961,0.7386363636363636,0.6160714285714286
256,mi,500,0.8246753246753247,0.7069805194805194,0.6160714285714286
